name,price_aed
3 CHENES NASAL SPRAY PROPOLIS 15ML                ,35
3 CHENES NASAL SPRAY PROPOLIS 15ML                ,35
3 CHENES PROPOLIS BUCCAL SPRAY 20ML               ,49
ACC 200 SACHETS 20'S                              ,22
ACC LONG EFF 600MG TAB 10'S                       ,16.5
ACEFLAM 100MG TAB 10'S                            ,25
ACEFLAM 100MG TAB 10'S                            ,25
ACEFLAM 100MG TAB 20'S                            ,45
ACETAB 25MG TAB 20'S                              ,7.5
ACETAMOL 1000MG TAB 16'S                          ,30
ACNE-MAX GEL 30GM                                 ,53.5
ACRETINE 0.025% CREAM 30GM                        ,13.5
ACRETINE 0.05% CREAM 30GM                         ,16
ACRETINE C GEL 30GM                               ,32
ACTIGESIC 1000MG TAB 20'S                         ,22.5
ACTILOSA CAP 30'S                                 ,55
ACTILOSA DRY SYRUP 30ML                           ,24
"ACTINERVE 20S TAB(VIT B1.B6,B12)                  ",18
"ACTISIM  TABLETS 20""S                             ",49
ACTOS 15MG TAB 30'S                               ,131
ACTOS 30MG TAB 30'S                               ,178
ADCITAN 1000MG TAB 100'S                          ,575.5
ADCITAN 500MG TAB 100'S                           ,303
ADCITAN 500MG TAB 100'S                           ,303
ADDYZOA CAP 20'S                                  ,30
ADOL 120MG/5ML SUSPENSION 100ML                   ,10.5
ADOL 120MG/5ML SYRUP 100ML                        ,10.5
ADOL 250MG/5ML SUSPENSION 100ML                   ,13
ADOL 500MG TAB 24'S                               ,9.5
ADOL 500MG TAB 48'S                               ,16.5
ADOL 500MG TAB 48'S                               ,16.5
ADOL 500MG TAB 96'S                               ,21.5
ADOL EXTRA TAB 24'S                               ,11.5
ADOL EXTRA TAB 48'S                               ,20
ADVAQUIN 500MG TAB 5'S                            ,39
ADVAQUIN 500MG TAB 7'S                            ,54.5
AERIALLERGE 0.5MG/1ML SYRUP 125ML                 ,10
AERIALLERGE 5MG TAB 30'S                          ,17
AEROSE MOIST NASAL SPRAY 10ML                     ,28.5
AEROSE MOIST NASAL SPRAY 10ML                     ,28.5
AEROSE PLUS MOIST NASAL SPRAY 10ML                ,29.5
AG ARTHRIFLEX CREAM 100GM                         ,52
AGOUT 40MG TAB 30'S                               ,81.5
AGOUT 80MG TAB 30'S                               ,81.5
AIRFAST 10MG TAB 30'S                             ,78.5
AIRFAST 4MG CHEWABLE TAB 30'S                     ,78.5
AIRFAST 4MG SACHETS 28'S                          ,73
AIRFAST 5MG CHEWABLE TAB 30'S                     ,78.5
ALBENDA 200MG TAB 2'S                             ,6
ALBUNIL TAB 30'S                                  ,36
ALCETA PLUS TAB 24'S                              ,11
ALCETA TAB 12'S                                   ,6.5
ALDARA CREAM 5% SACHET 12'S                       ,365
ALERACT TAB 30'S                                  ,140
ALFACORT CREAM 30GM                               ,18.5
"ALFATON 600MG TAB 30""S                            ",137
ALFO 600MG TAB 30'S (THIOCTIC ACID)               ,100
ALKA 5 SYRUP 100ML                                ,15
ALKACURE CRAN EFF GRANULES SACHETS 10'S           ,20
ALKACURE EFF GRANULES SACHETS 10'S                ,10
ALKAL EFF GRANULES SACHETS 10'S                   ,10
ALKASOL EFF GRANULES SACHETS 28'S                 ,25
ALOXAL ANTACID SYRUP 200ML                        ,9
ALPHAGAN P 0.15% EYE DROPS 5ML                    ,68
ALVITYL MULTIVITAMIN SYRUP 150ML (3+)             ,55
